Plan;"Asignatura id";Asignatura;Nivel
PH1;PH13458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
PH1;PH13458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
PH2;PH23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
PH2;PH23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HW1;HW13458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HW2;HW23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
HW2;HW23458;"ESTUDIOS DE DEMONIOS NECROFAGOS  I";2
GH1;GH13462;"ENCANTAMIENTOS  II";3
GH2;GH23462;"ENCANTAMIENTOS  II";3
GH2;GH23462;"ENCANTAMIENTOS  II";3
GH3;GH33462;"ENCANTAMIENTOS  II";3
GH3;GH33462;"ENCANTAMIENTOS  II";3
HP1;HP13462;"ENCANTAMIENTOS  II";3
HP2;HP23462;"ENCANTAMIENTOS  II";3
HP2;HP23462;"ENCANTAMIENTOS  II";3
PH1;PH13462;"ENCANTAMIENTOS  II";3
PH1;PH13462;"ENCANTAMIENTOS  II";3
PH2;PH23462;"ENCANTAMIENTOS  II";3
PH2;PH23462;"ENCANTAMIENTOS  II";3
HW1;HW13462;"ENCANTAMIENTOS  II";3
HW2;HW23462;"ENCANTAMIENTOS  II";3
HW2;HW23462;"ENCANTAMIENTOS  II";3
GH1;GH13463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH2;GH23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH2;GH23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH3;GH33463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH3;GH33463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP1;HP13463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP2;HP23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HP2;HP23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
PH1;PH13463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
PH1;PH13463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
PH2;PH23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
PH2;PH23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HW1;HW13463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HW2;HW23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
HW2;HW23463;"ESTUDIOS DE DEMONIOS NECROFAGOS  II";3
GH1;GH13465;"TALLER DE ADMINISTRACION  DE BÓVEDAS";3
HP1;HP13465;"TALLER DE ADMINISTRACION  DE BÓVEDAS";3
HW1;HW13465;"TALLER DE ADMINISTRACION  DE BÓVEDAS";3
GH1;GH13468;"ENCANTAMIENTOS  III";3
GH2;GH23468;"ENCANTAMIENTOS  III";4
GH2;GH23468;"ENCANTAMIENTOS  III";4
GH3;GH33468;"ENCANTAMIENTOS  III";4
GH3;GH33468;"ENCANTAMIENTOS  III";4
HP1;HP13468;"ENCANTAMIENTOS  III";3
HP2;HP23468;"ENCANTAMIENTOS  III";4
HP2;HP23468;"ENCANTAMIENTOS  III";4
PH1;PH13468;"ENCANTAMIENTOS  III";4
PH1;PH13468;"ENCANTAMIENTOS  III";4
PH2;PH23468;"ENCANTAMIENTOS  III";4
PH2;PH23468;"ENCANTAMIENTOS  III";4
HW1;HW13468;"ENCANTAMIENTOS  III";2
HW2;HW23468;"ENCANTAMIENTOS  III";4
HW2;HW23468;"ENCANTAMIENTOS  III";4
GH1;GH13469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH2;GH23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH2;GH23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH3;GH33469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH3;GH33469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP1;HP13469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP2;HP23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HP2;HP23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
PH1;PH13469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
PH1;PH13469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
PH2;PH23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
PH2;PH23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HW1;HW13469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HW2;HW23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
HW2;HW23469;"ESTUDIOS DE DEMONIOS NECROFAGOS  III";4
GH1;GH13470;"ADIVINACION  I";3
GH2;GH23470;"ADIVINACION  I";4
GH2;GH23470;"ADIVINACION  I";4
GH3;GH33470;"ADIVINACION  I";4
GH3;GH33470;"ADIVINACION  I";4
HP1;HP13470;"ADIVINACION  I";3
HP2;HP23470;"ADIVINACION  I";4
HP2;HP23470;"ADIVINACION  I";4
PH1;PH13470;"ADIVINACION  I";4
PH1;PH13470;"ADIVINACION  I";4
PH2;PH23470;"ADIVINACION  I";4
PH2;PH23470;"ADIVINACION  I";4
HW1;HW13470;"ADIVINACION  I";3
HW2;HW23470;"ADIVINACION  I";4
HW2;HW23470;"ADIVINACION  I";4
HP1;HP13472;"TALLER DE ETICA HECHICERA";
GH1;GH13474;"ENCANTAMIENTOS  IV";4
GH2;GH23474;"ENCANTAMIENTOS  IV";5
GH2;GH23474;"ENCANTAMIENTOS  IV";5
GH3;GH33474;"ENCANTAMIENTOS  IV";5
GH3;GH33474;"ENCANTAMIENTOS  IV";5
HP1;HP13474;"ENCANTAMIENTOS  IV";4
HP2;HP23474;"ENCANTAMIENTOS  IV";5
HP2;HP23474;"ENCANTAMIENTOS  IV";5
PH1;PH13474;"ENCANTAMIENTOS  IV";5
PH1;PH13474;"ENCANTAMIENTOS  IV";5
PH2;PH23474;"ENCANTAMIENTOS  IV";5
PH2;PH23474;"ENCANTAMIENTOS  IV";5
HW1;HW13474;"ENCANTAMIENTOS  IV";4
HW2;HW23474;"ENCANTAMIENTOS  IV";5
HW2;HW23474;"ENCANTAMIENTOS  IV";5
GH1;GH13475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";4
GH2;GH23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
GH2;GH23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
GH3;GH33475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
GH3;GH33475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HP1;HP13475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";4
HP2;HP23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HP2;HP23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
PH1;PH13475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
PH1;PH13475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
PH2;PH23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
PH2;PH23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HW1;HW13475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";4
HW2;HW23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
HW2;HW23475;"ESTUDIOS DE DEMONIOS NECROFAGOS  IV";5
GH1;GH13476;"ADIVINACION  II";3
GH2;GH23476;"ADIVINACION  II";5
GH2;GH23476;"ADIVINACION  II";5
GH3;GH33476;"ADIVINACION  II";5
GH3;GH33476;"ADIVINACION  II";5
HP1;HP13476;"ADIVINACION  II";3
HP2;HP23476;"ADIVINACION  II";5
HP2;HP23476;"ADIVINACION  II";5
PH1;PH13476;"ADIVINACION  II";5
PH1;PH13476;"ADIVINACION  II";5
PH2;PH23476;"ADIVINACION  II";5
PH2;PH23476;"ADIVINACION  II";5
HW1;HW13476;"ADIVINACION  II";3
HW2;HW23476;"ADIVINACION  II";5
HW2;HW23476;"ADIVINACION  II";5
GH1;GH13480;"ENCANTAMIENTOS  V";5
GH2;GH23480;"ENCANTAMIENTOS  V";6
GH2;GH23480;"ENCANTAMIENTOS  V";6
GH3;GH33480;"ENCANTAMIENTOS  V";6
GH3;GH33480;"ENCANTAMIENTOS  V";6
HP1;HP13480;"ENCANTAMIENTOS  V";5
HP1;HP13480;"ENCANTAMIENTOS  V";5
HP2;HP23480;"ENCANTAMIENTOS  V";6
HP2;HP23480;"ENCANTAMIENTOS  V";6
PH1;PH13480;"ENCANTAMIENTOS  V";6
PH1;PH13480;"ENCANTAMIENTOS  V";6
PH2;PH23480;"ENCANTAMIENTOS  V";6
PH2;PH23480;"ENCANTAMIENTOS  V";6
HW1;HW13480;"ENCANTAMIENTOS  V";1
HW1;HW13480;"ENCANTAMIENTOS  V";5
HW1;HW13480;"ENCANTAMIENTOS  V";5
HW2;HW23480;"ENCANTAMIENTOS  V";6
HW2;HW23480;"ENCANTAMIENTOS  V";6
GH1;GH13482;"ADIVINACION  III";4
GH2;GH23482;"ADIVINACION  III";6
GH2;GH23482;"ADIVINACION  III";6
GH3;GH33482;"ADIVINACION  III";6
GH3;GH33482;"ADIVINACION  III";6
HP1;HP13482;"ADIVINACION  III";4
HP2;HP23482;"ADIVINACION  III";6
HP2;HP23482;"ADIVINACION  III";6
PH1;PH13482;"ADIVINACION  III";6
PH1;PH13482;"ADIVINACION  III";6
PH2;PH23482;"ADIVINACION  III";6
PH2;PH23482;"ADIVINACION  III";6
HW1;HW13482;"ADIVINACION  III";4
HW2;HW23482;"ADIVINACION  III";6
HW2;HW23482;"ADIVINACION  III";6
GH1;GH13486;"ENCANTAMIENTOS  VI";5
GH2;GH23486;"ENCANTAMIENTOS  VI";7
GH2;GH23486;"ENCANTAMIENTOS  VI";7
GH3;GH33486;"ENCANTAMIENTOS  VI";7
GH3;GH33486;"ENCANTAMIENTOS  VI";7
HP1;HP13486;"ENCANTAMIENTOS  VI";5
HP1;HP13486;"ENCANTAMIENTOS  VI";5
HP2;HP23486;"ENCANTAMIENTOS  VI";7
HP2;HP23486;"ENCANTAMIENTOS  VI";7
PH1;PH13486;"ENCANTAMIENTOS  VI";7
PH1;PH13486;"ENCANTAMIENTOS  VI";7
PH2;PH23486;"ENCANTAMIENTOS  VI";7
PH2;PH23486;"ENCANTAMIENTOS  VI";7
HW1;HW13486;"ENCANTAMIENTOS  VI";1
HW1;HW13486;"ENCANTAMIENTOS  VI";5
HW1;HW13486;"ENCANTAMIENTOS  VI";5
HW2;HW23486;"ENCANTAMIENTOS  VI";7
HW2;HW23486;"ENCANTAMIENTOS  VI";7
GH1;GH13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
GH2;GH23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
GH2;GH23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
GH3;GH33487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
GH3;GH33487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
HP1;HP13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
HP1;HP13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
HP2;HP23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
HP2;HP23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
PH1;PH13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
PH1;PH13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
PH2;PH23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
PH2;PH23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
HW1;HW13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
HW1;HW13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
HW1;HW13487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";5
HW2;HW23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
HW2;HW23487;"ESTUDIOS DE DEMONIOS NECROFAGOS  V";6
GH2;GH23492;"REUNIÓN MAGICA  I";9
GH3;GH33492;"REUNIÓN MAGICA  I";9
GH3;GH33492;"REUNIÓN MAGICA  I";9
HP2;HP23492;"REUNIÓN MAGICA  I";9
HP2;HP23492;"REUNIÓN MAGICA  I";9
PH1;PH13492;"REUNIÓN MAGICA  I";9
PH1;PH13492;"REUNIÓN MAGICA  I";9
PH2;PH23492;"REUNIÓN MAGICA  I";9
PH2;PH23492;"REUNIÓN MAGICA  I";9
HW2;HW23492;"REUNIÓN MAGICA  I";9
HW2;HW23492;"REUNIÓN MAGICA  I";9
GH2;GH23495;"REUNIÓN MAGICA  II";10
GH2;GH23495;"REUNIÓN MAGICA  II";10
GH3;GH33495;"REUNIÓN MAGICA  II";10
GH3;GH33495;"REUNIÓN MAGICA  II";10
HP2;HP23495;"REUNIÓN MAGICA  II";10
HP2;HP23495;"REUNIÓN MAGICA  II";10
PH1;PH13495;"REUNIÓN MAGICA  II";10
PH1;PH13495;"REUNIÓN MAGICA  II";10
PH2;PH23495;"REUNIÓN MAGICA  II";10
PH2;PH23495;"REUNIÓN MAGICA  II";10
HW2;HW23495;"REUNIÓN MAGICA  II";10
HW2;HW23495;"REUNIÓN MAGICA  II";10
HP1;HP13501;"MAGIA PROFUNDIZADA: PROCEDIMIENTOS MUGGLE";
GH2;GH23510;"ELECTIVO AREA: RECURSOS NECRÓFAGOS";
GH3;GH33510;"ELECTIVO AREA: RECURSOS NECRÓFAGOS";
PH1;PH13510;"ELECTIVO AREA: RECURSOS NECRÓFAGOS";
HW2;HW23510;"ELECTIVO AREA: RECURSOS NECRÓFAGOS";
WH1;WH13848;"TIMOS Título Indispensable de Magia Ordinaria";
GH2;GH23869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";
GH3;GH33869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";
HP2;HP23869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";7
PH1;PH13869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";
PH2;PH23869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";7
HW2;HW23869;"ELECTIVO AREA:  DEMONIOS NECROFAGOS";
GH2;GH23870;"ELECTIVO AREA: MAGIA SUCESORIAS";
GH3;GH33870;"ELECTIVO AREA: MAGIA SUCESORIAS";
PH1;PH13870;"ELECTIVO AREA: MAGIA SUCESORIAS";
PH2;PH23870;"ELECTIVO AREA: MAGIA SUCESORIAS";
HW2;HW23870;"ELECTIVO AREA: MAGIA SUCESORIAS";
GH2;GH23947;"ELECTIVO AREA: RECURSOS DEMONIOS NECRÓFAGOS";
GH3;GH33947;"ELECTIVO AREA: RECURSOS DEMONIOS NECRÓFAGOS";
PH1;PH13947;"ELECTIVO AREA: RECURSOS DEMONIOS NECRÓFAGOS";
HW2;HW23947;"ELECTIVO AREA: RECURSOS DEMONIOS NECRÓFAGOS";
HP1;HP13979;AZKABANOLOGÍA;
GH1;GH13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
HP1;HP13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
HP1;HP13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
PH1;PH13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";9
HW1;HW13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
HW1;HW13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
HW1;HW13985;"ELECTIVO AREA:  MAGIA INTERNACIONAL PRIVADA";5
HP1;HP14148;"TALLER DE POCIONES";
GH2;GH24441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";
GH3;GH34441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";
HP2;HP24441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";7
PH1;PH14441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";
PH2;PH24441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";7
HW2;HW24441;"ESTUDIOS DE DEMONIOS NECROFAGOS  VI";
GH2;GH24442;"ENCANTAMIENTOS  VII";
GH3;GH34442;"ENCANTAMIENTOS  VII";
HP1;HP14442;"ENCANTAMIENTOS  VII";5
HP1;HP14442;"ENCANTAMIENTOS  VII";5
HP2;HP24442;"ENCANTAMIENTOS  VII";8
PH1;PH14442;"ENCANTAMIENTOS  VII";
PH2;PH24442;"ENCANTAMIENTOS  VII";
HW1;HW14442;"ENCANTAMIENTOS  VII";1
HW1;HW14442;"ENCANTAMIENTOS  VII";5
HW1;HW14442;"ENCANTAMIENTOS  VII";5
HW2;HW24442;"ENCANTAMIENTOS  VII";8
GH2;GH24444;"FUNDAMENTOS FILOSOFICOS DE LA MAGIA";
GH3;GH34444;"FUNDAMENTOS FILOSOFICOS DE LA MAGIA";
PH1;PH14444;"FUNDAMENTOS FILOSOFICOS DE LA MAGIA";
PH2;PH24444;"FUNDAMENTOS FILOSOFICOS DE LA MAGIA";
HP1;HP14460;"ELECTIVO AREA:  PROCEDIMIENTO MUGGLE";
GH1;GH14493;"CURSO DE ACTUALIZACION EN MAGIA";
HP1;HP14493;"CURSO DE ACTUALIZACION EN MAGIA";
HW1;HW14493;"CURSO DE ACTUALIZACION EN MAGIA";
PH1;PH110086;"TUTORÍAS DE ACOMPAÑAMIENTO MAGICO";
PH2;PH210086;"TUTORÍAS DE ACOMPAÑAMIENTO MAGICO";
HW2;HW210086;"TUTORÍAS DE ACOMPAÑAMIENTO MAGICO";
WH2;WH236000;"PERSPECTIVA HISTÓRICA  DE LA HECHICERIA";1
WH3;WH336000;"PERSPECTIVA HISTÓRICA  DE LA HECHICERIA";1
WH2;WH236019;"ESTRATEGIAS INNOVADORAS PARA  ENCANTAR";6
WH3;WH336019;"ESTRATEGIAS INNOVADORAS PARA  ENCANTAR";6
MG9;MG963122;"ADIVINACION  INTERNACIONAL";2
MG0;MG063122;"ADIVINACION  INTERNACIONAL";2
MG1;MG163138;"ADIVINACION  MESTIZA";5
MG6;MG663138;"ADIVINACION  MESTIZA";5
MG9;MG963430;"BÓVEDA 713  ESPECIAL";4
MG0;MG063430;"BÓVEDA 713  ESPECIAL";4
MG1;MG163437;"ELECTIVO: PANORAMA ACTUAL DEL MAGIA  EN Colegio Ilvermorny de Magia y Hechicería";4
MG6;MG663437;"ELECTIVO: PANORAMA ACTUAL DEL MAGIA  EN Colegio Ilvermorny de Magia y Hechicería";4
MG6;MG663437;"ELECTIVO: PANORAMA ACTUAL DEL MAGIA  EN Colegio Ilvermorny de Magia y Hechicería";5
MG3;MG363457;"SOCIEDAD  MUGGLE";2
DM2;DM263488;"ADIVINACION  SUSTANTIVA";1
DM3;DM363488;"ADIVINACION  SUSTANTIVA";1
MG4;MG463488;"ADIVINACION  SUSTANTIVA";2
MG5;MG563488;"ADIVINACION  SUSTANTIVA";2
MG4;MG463490;"CONSTITUCION  COMO FUENTE DE LA POCION MAGICA";3
DO1;DO163530;"SEMINARIO ENCANTAMIENTOS  PATRIMONIALES";1
DO1;DO163538;"FORMULACION   TESIS I";3
DO1;DO163550;"CREDITOS DE DIFUSION DE RESULTADOS ACADEMICOS";
MG11;MG1163582;"TALLER DE  Misterio del príncipe";5
MG7;MG763630;"ADIVINACION  I ENTERPRISE";5
HG1;HG165060;"CASTELLANO  PARA MAGOS";1
HG2;HG265060;"CASTELLANO  PARA MAGOS";1
HG1;HG165062;"FUNDAMENTOS  DE LA INTERVENCION MAGICA";2
